,housing_rate_change
0,0.027000000000000003
1,0.0
2,-0.049
3,-0.034
4,0.01
5,0.017
6,-0.057
7,0.04
8,-0.023
9,0.009000000000000001
10,-0.002
11,0.028999999999999998
12,0.066
13,-0.023
14,-0.013000000000000001
15,0.039
16,0.01
17,-0.004
18,0.043
19,0.053
20,-0.031
21,-0.038
22,0.027000000000000003
23,-0.013000000000000001
24,0.039
25,0.002
26,-0.037000000000000005
27,-0.052000000000000005
28,0.021
29,0.003
30,0.006
31,0.009000000000000001
32,-0.031
33,0.006999999999999999
34,0.019
35,0.055999999999999994
36,-0.033
37,-0.01
38,-0.032
39,0.059000000000000004
40,0.021
41,0.002
42,0.023
43,0.052000000000000005
44,-0.145
45,-0.004
46,0.01
47,0.036000000000000004
48,0.069
49,0.028999999999999998
50,-0.006999999999999999
51,-0.02
52,0.02
53,0.034
54,0.038
55,0.037000000000000005
56,0.005
57,0.042
58,0.008
59,-0.040999999999999995
60,0.03
61,-0.022000000000000002
62,0.079
63,0.009000000000000001
64,0.013999999999999999
65,0.048
66,0.09300000000000001
67,0.023
68,0.039
69,-0.002
70,0.052000000000000005
71,0.055999999999999994
72,0.01
73,-0.039
74,-0.11
75,0.091
76,0.075
77,0.057999999999999996
78,-0.013999999999999999
79,0.009000000000000001
80,0.011000000000000001
81,-0.013000000000000001
82,0.024
83,0.034
84,-0.028999999999999998
85,0.045
86,0.12300000000000001
87,0.006999999999999999
88,-0.033
89,0.077
90,0.032
91,-0.040999999999999995
92,0.043
93,0.032
94,-0.005
95,0.039
96,-0.024
97,-0.013999999999999999
98,-0.077
99,0.071
100,-0.01
101,0.08199999999999999
102,0.03
103,-0.027000000000000003
104,0.017
105,0.024
106,0.027999999999999997
107,-0.024
108,0.055
109,0.04
110,0.043
111,0.032
112,0.061
113,0.043
114,-0.063
115,-0.016
116,0.055
117,0.032
118,-0.087
119,-0.045
120,-0.048
121,-0.011000000000000001
122,-0.076
123,-0.073
124,0.002
125,-0.043
126,-0.107
127,-0.067
128,-0.018000000000000002
129,-0.079
130,-0.054000000000000006
131,-0.032
132,-0.001
133,-0.14
134,-0.055
135,-0.033
136,-0.085
137,-0.024
138,0.023
139,-0.065
140,-0.10400000000000001
141,-0.006999999999999999
142,-0.079
